pgNo,startX,startY,endX,endY,w,h,fntSize,txtColor,txtFnt,docName,pgW,pgH,topMargin,bottomMargin,leftMargin,rightMargin,lSize,lnNo,lWhiteSpaces,wordPosition,left_startX,left_startY,left_endX,left_endY,left_w,left_h,left_fntSize,left_txtColor,left_txtFnt,left_topMargin,left_bottomMargin,left_leftMargin,left_rightMargin,left_wordPosition,left_txt,right_startX,right_startY,right_endX,right_endY,right_w,right_h,right_fntSize,right_txtColor,right_txtFnt,right_topMargin,right_bottomMargin,right_leftMargin,right_rightMargin,right_wordPosition,right_txt,bottom_startX,bottom_startY,bottom_endX,bottom_endY,bottom_w,bottom_h,bottom_fntSize,bottom_txtColor,bottom_txtFnt,bottom_topMargin,bottom_bottomMargin,bottom_leftMargin,bottom_rightMargin,bottom_wordPosition,bottom_txt,top_startX,top_startY,top_endX,top_endY,top_w,top_h,top_fntSize,top_txtColor,top_txtFnt,top_topMargin,top_bottomMargin,top_leftMargin,top_rightMargin,top_wordPosition,top_txt,txt,label
1,387.51,99.87,458.13,107.75,70.62,7.88,11.03999996,-16777216,BookmanOldStyle-Bold,alsecure.pdf,612,792,99.87,684.25,387.51,153.87,46,3,5,6,328.81,99.87,383.76,107.75,54.95,7.88,11.03999996,-16777216,BookmanOldStyle-Bold,99.87,684.25,328.81,228.24,5,"Lucknow,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.P.-226016,
1,232.28,113.89,253.91,121.77,21.63,7.88,11.03999996,-16777216,BookmanOldStyle-Bold,alsecure.pdf,612,792,113.89,670.23,232.28,358.09,17,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,261.41,113.89,345.5,121.77,84.09,7.88,11.03999996,-16777216,BookmanOldStyle-Bold,113.89,670.23,261.41,266.5,2,0522-4106133,232.28,127.69,272.23,135.57,39.95,7.88,11.03999996,-16777216,BookmanOldStyle-Bold,127.69,656.43,232.28,339.77,1,GSTIN:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tel:,
1,261.41,113.89,345.5,121.77,84.09,7.88,11.03999996,-16777216,BookmanOldStyle-Bold,alsecure.pdf,612,792,113.89,670.23,261.41,266.5,17,4,1,2,232.28,113.89,253.91,121.77,21.63,7.88,11.03999996,-16777216,BookmanOldStyle-Bold,113.89,670.23,232.28,358.09,1,Tel:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0522-4106133,
1,232.28,127.69,272.23,135.57,39.95,7.88,11.03999996,-16777216,BookmanOldStyle-Bold,alsecure.pdf,612,792,127.69,656.43,232.28,339.77,22,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,275.98,127.69,391.18,135.57,115.2,7.88,11.03999996,-16777216,BookmanOldStyle-Bold,127.69,656.43,275.98,220.82,2,09AAECA8210H1ZU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,232.28,113.89,253.91,121.77,21.63,7.88,11.03999996,-16777216,BookmanOldStyle-Bold,113.89,670.23,232.28,358.09,1,Tel:,GSTIN:,
1,275.98,127.69,391.18,135.57,115.2,7.88,11.03999996,-16777216,BookmanOldStyle-Bold,alsecure.pdf,612,792,127.69,656.43,275.98,220.82,22,5,1,2,232.28,127.69,272.23,135.57,39.95,7.88,11.03999996,-16777216,BookmanOldStyle-Bold,127.69,656.43,232.28,339.77,1,GSTIN:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,09AAECA8210H1ZU,
1,227.42,154.27,268.91,170.02,41.49,15.75,22.07999992,-16777216,BookmanOldStyle-Bold,alsecure.pdf,612,792,154.27,621.98,227.42,343.09,11,6,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,276.75,154.27,361.05,170.02,84.3,15.75,22.07999992,-16777216,BookmanOldStyle-Bold,154.27,621.98,276.75,250.95,2,Invoice,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tax,
1,276.75,154.27,361.05,170.02,84.3,15.75,22.07999992,-16777216,BookmanOldStyle-Bold,alsecure.pdf,612,792,154.27,621.98,276.75,250.95,11,6,1,2,227.42,154.27,268.91,170.02,41.49,15.75,22.07999992,-16777216,BookmanOldStyle-Bold,154.27,621.98,227.42,343.09,1,Tax,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Invoice,
1,47.58,179.27,75.45,185.69,27.87,6.42,10.15680027,-16777216,Calibri-Bold,alsecure.pdf,612,792,179.27,606.31,47.58,536.55,42,7,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.72,179.27,100.53,185.69,22.81,6.42,10.15680027,-16777216,Calibri-Bold,179.27,606.31,77.72,511.47,2,HDFC,47.58,192.3,84.26,198.72,36.68,6.42,10.15680027,-16777216,Calibri-Bold,192.3,593.28,47.58,527.74,1,Address:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Name:,
1,77.72,179.27,100.53,185.69,22.81,6.42,10.15680027,-16777216,Calibri-Bold,alsecure.pdf,612,792,179.27,606.31,77.72,511.47,42,7,6,2,47.58,179.27,75.45,185.69,27.87,6.42,10.15680027,-16777216,Calibri-Bold,179.27,606.31,47.58,536.55,1,Name:,102.88,179.27,127.07,185.69,24.19,6.42,10.15680027,-16777216,Calibri-Bold,179.27,606.31,102.88,484.93,3,BANK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HDFC,
1,102.88,179.27,127.07,185.69,24.19,6.42,10.15680027,-16777216,Calibri-Bold,alsecure.pdf,612,792,179.27,606.31,102.88,484.93,42,7,6,3,77.72,179.27,100.53,185.69,22.81,6.42,10.15680027,-16777216,Calibri-Bold,179.27,606.31,77.72,511.47,2,HDFC,129.35,179.27,147.84,185.69,18.49,6.42,10.15680027,-16777216,Calibri-Bold,179.27,606.31,129.35,464.16,4,LTD.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BANK,
